County,Population_2022
Alcona,10417
Alger,8807
Allegan,121210
Alpena,28847
Antrim,24249
Arenac,15089
Baraga,8277
Barry,63554
Bay,102821
Benzie,18297
Berrien,152900
Branch,44531
Calhoun,133289
Cass,51403
Charlevoix,26293
Cheboygan,25940
Chippewa,36293
Clare,31352
Clinton,79748
Crawford,13491
Delta,36741
Dickinson,25874
Eaton,108992
Emmet,34163
Genesee,401983
Gladwin,25728
Gogebic,14319
Grand Traverse,96464
Gratiot,41100
Hillsdale,45762
Houghton,37035
Huron,31248
Ingham,284108
Ionia,66809
Iosco,25521
Iron,11622
Isabella,64447
Jackson,160066
Kalamazoo,261173
Kalkaska,18182
Kent,659083
Keweenaw,2180
Lake,12594
Lapeer,88780
Leelanau,22870
Lenawee,98567
Livingston,196161
Luce,5330
Mackinac,10941
Macomb,874195
Manistee,25287
Marquette,66661
Mason,29409
Mecosta,40720
Menominee,23266
Midland,83674
Missaukee,15213
Monroe,155609
Montcalm,67433
Montmorency,9569
Muskegon,176565
Newaygo,50886
Oakland,1269431
Oceana,26973
Ogemaw,20970
Ontonagon,5863
Osceola,23274
Oscoda,8404
Otsego,25644
Ottawa,300873
Presque Isle,13361
Roscommon,23708
Saginaw,188330
St Clair,160151
St. Joseph,60874
Sanilac,40657
Schoolcraft,8188
Shiawassee,68022
Tuscola,52945
Van Buren,75692
Washtenaw,366376
Wayne,1757043
Wexford,34196
